GO;NS;enrichment;name;ratio_in_study;ratio_in_pop;p_uncorrected;depth;study_count;p_bonferroni;p_fdr_bh;study_items
GO:1902600;BP;e;proton transmembrane transport;10/102;70/46923;5.32946E-16;7;10;1.95964E-12;1.95964E-12;172216.0, 172673.0, 174272.0, 174596.0, 176383.0, 177442.0, 177757.0, 180534.0, 180956.0, 259519.0
GO:0006457;BP;e;protein folding;7/102;86/46923;8.68426E-10;2;7;3.1932E-06;1.5966E-06;172655.0, 173374.0, 174330.0, 174421.0, 175315.0, 175472.0, 175727.0
GO:0009792;BP;e;embryo development ending in birth or egg hatching;9/102;305/46923;2.484E-08;5;9;9.13365E-05;3.04455E-05;174272.0, 175801.0, 175915.0, 176383.0, 176503.0, 177595.0, 177757.0, 179535.0, 266820.0
GO:0008380;BP;e;RNA splicing;6/102;88/46923;4.26438E-08;8;6;0.000156801;3.92003E-05;171834.0, 173073.0, 174333.0, 174645.0, 176103.0, 178483.0
GO:0042254;BP;e;ribosome biogenesis;5/102;49/46923;7.7686E-08;5;5;0.000285651;5.71302E-05;171901.0, 172883.0, 176504.0, 176863.0, 179442.0
GO:0006397;BP;e;mRNA processing;6/102;130/46923;4.35962E-07;8;6;0.001603034;0.000267172;171834.0, 173073.0, 174333.0, 174645.0, 176103.0, 178483.0
GO:0006811;BP;e;monoatomic ion transport;9/102;450/46923;6.60218E-07;4;9;0.00242762;0.000346803;172216.0, 172673.0, 174272.0, 174596.0, 176383.0, 177442.0, 177757.0, 180534.0, 180956.0
GO:0006122;BP;e;mitochondrial electron transport, ubiquinol to cytochrome c;3/102;10/46923;1.18348E-06;8;3;0.004351645;0.000543956;174992.0, 259519.0, 266653.0
GO:0006754;BP;e;ATP biosynthetic process;3/102;13/46923;2.80726E-06;11;3;0.010322297;0.001146922;172216.0, 172673.0, 180956.0
GO:0006886;BP;e;intracellular protein transport;5/102;110/46923;4.48948E-06;7;5;0.016507815;0.001650781;175801.0, 177027.0, 177595.0, 178620.0, 179213.0
GO:0015986;BP;e;proton motive force-driven ATP synthesis;3/102;19/46923;9.42146E-06;12;3;0.034642708;0.003149337;172673.0, 178830.0, 180956.0
GO:0031120;BP;e;snRNA pseudouridine synthesis;2/102;3/46923;1.40173E-05;10;2;0.051541452;0.003964727;172883.0, 176504.0
GO:0031118;BP;e;rRNA pseudouridine synthesis;2/102;3/46923;1.40173E-05;11;2;0.051541452;0.003964727;172883.0, 176504.0
GO:0008340;BP;e;determination of adult lifespan;6/102;257/46923;2.20914E-05;2;6;0.081229909;0.005802136;172071.0, 172921.0, 174333.0, 175529.0, 176863.0, 266858.0
GO:0060142;BP;e;regulation of syncytium formation by plasma membrane fusion;2/102;4/46923;2.79947E-05;5;2;0.102936464;0.006055086;176383.0, 177757.0
GO:0007042;BP;e;lysosomal lumen acidification;2/102;4/46923;2.79947E-05;10;2;0.102936464;0.006055086;174596.0, 176383.0
GO:0006144;BP;e;purine nucleobase metabolic process;2/102;4/46923;2.79947E-05;7;2;0.102936464;0.006055086;178028.0, 178834.0
GO:0000398;BP;e;mRNA splicing, via spliceosome;4/102;98/46923;6.49751E-05;11;4;0.238913354;0.013272964;171834.0, 174333.0, 174645.0, 176103.0
GO:0006102;BP;e;isocitrate metabolic process;2/102;6/46923;6.97881E-05;7;2;0.256610701;0.013505826;172655.0, 177775.0
GO:0006412;BP;e;translation;5/102;210/46923;0.000100236;7;5;0.368565976;0.018428299;175141.0, 175235.0, 176975.0, 178419.0, 179153.0
GO:0015031;BP;e;protein transport;5/102;228/46923;0.000147188;6;5;0.541208656;0.025771841;175801.0, 176503.0, 177027.0, 177595.0, 179213.0
GO:0010286;BP;e;heat acclimation;2/102;12/46923;0.000304462;5;2;1;0.046646077;180326.0, 266858.0
GO:0022900;BP;e;electron transport chain;2/102;12/46923;0.000304462;4;2;1;0.046646077;174428.0, 176051.0
GO:0071028;BP;e;nuclear mRNA surveillance;2/102;12/46923;0.000304462;11;2;1;0.046646077;173073.0, 174333.0
GO:0005739;CC;e;mitochondrion;19/102;644/46923;2.18977E-16;5;19;2.0562E-13;2.0562E-13;172655.0, 172673.0, 174428.0, 174992.0, 175529.0, 175772.0, 175915.0, 176008.0, 176051.0, 176828.0, 177106.0, 177775.0, 178288.0, 180897.0, 180956.0, 259519.0, 266653.0, 3564813.0, 3565996.0
GO:0005737;CC;e;cytoplasm;30/102;2388/46923;2.18018E-15;2;30;2.04719E-12;1.0236E-12;171834.0, 171934.0, 173160.0, 173205.0, 173374.0, 174330.0, 174421.0, 175440.0, 175529.0, 175801.0, 175915.0, 175922.0, 176051.0, 176103.0, 176503.0, 176975.0, 176979.0, 177442.0, 177595.0, 177636.0, 178288.0, 178419.0, 178483.0, 178992.0, 179094.0, 179535.0, 180326.0, 180912.0, 266820.0, 266858.0
GO:1990904;CC;e;ribonucleoprotein complex;11/102;221/46923;2.41048E-12;2;11;2.26344E-09;7.5448E-10;171834.0, 172883.0, 174645.0, 175141.0, 175235.0, 176103.0, 176504.0, 176975.0, 178483.0, 179153.0, 179999.0
GO:0031428;CC;e;box C/D RNP complex;4/102;4/46923;2.10411E-11;4;4;1.97576E-08;4.93941E-09;171901.0, 174645.0, 179442.0, 179999.0
GO:0005783;CC;e;endoplasmic reticulum;12/102;404/46923;9.49064E-11;5;12;8.91171E-08;1.78234E-08;171865.0, 172370.0, 173205.0, 175472.0, 175801.0, 176626.0, 176975.0, 177027.0, 177028.0, 179213.0, 180326.0, 180422.0
GO:0005634;CC;e;nucleus;23/102;2581/46923;5.91873E-09;5;23;5.55769E-06;9.26281E-07;171834.0, 171901.0, 172883.0, 172978.0, 173073.0, 174333.0, 174645.0, 175529.0, 175727.0, 175922.0, 176103.0, 176503.0, 176504.0, 176660.0, 176863.0, 177540.0, 177636.0, 178028.0, 178483.0, 179442.0, 179999.0, 180326.0, 266820.0
GO:0005829;CC;e;cytosol;11/102;511/46923;1.67694E-08;2;11;1.57465E-05;2.2495E-06;171834.0, 172978.0, 174421.0, 175727.0, 176103.0, 176975.0, 177775.0, 178028.0, 178419.0, 178483.0, 266858.0
GO:0005730;CC;e;nucleolus;7/102;174/46923;1.17258E-07;5;7;0.000110105;1.37632E-05;171901.0, 172883.0, 174645.0, 176504.0, 176863.0, 179442.0, 179999.0
GO:0005681;CC;e;spliceosomal complex;5/102;69/46923;4.42359E-07;3;5;0.000415375;4.61528E-05;171834.0, 174333.0, 174645.0, 176103.0, 178483.0
GO:0005750;CC;e;mitochondrial respiratory chain complex III;3/102;8/46923;5.54041E-07;5;3;0.000520244;5.20244E-05;174992.0, 259519.0, 266653.0
GO:0070469;CC;e;respirasome;4/102;31/46923;6.32849E-07;2;4;0.000594245;5.40223E-05;174428.0, 174992.0, 175772.0, 259519.0
GO:0005743;CC;e;mitochondrial inner membrane;6/102;148/46923;9.33109E-07;5;6;0.000876189;7.30158E-05;174428.0, 174992.0, 176828.0, 178830.0, 259519.0, 266653.0
GO:0032040;CC;e;small-subunit processome;4/102;45/46923;2.92748E-06;4;4;0.002748904;0.000211454;171901.0, 174645.0, 179442.0, 179999.0
GO:0022625;CC;e;cytosolic large ribosomal subunit;4/102;50/46923;4.48738E-06;5;4;0.00421365;0.00028091;172921.0, 174645.0, 175141.0, 179153.0
GO:0071013;CC;e;catalytic step 2 spliceosome;4/102;50/46923;4.48738E-06;4;4;0.00421365;0.00028091;171834.0, 173073.0, 176103.0, 178483.0
GO:0005685;CC;e;U1 snRNP;3/102;17/46923;6.6325E-06;5;3;0.006227916;0.000389245;171834.0, 176103.0, 178483.0
GO:0071011;CC;e;precatalytic spliceosome;3/102;19/46923;9.42146E-06;4;3;0.008846751;0.000520397;171834.0, 174645.0, 178483.0
GO:0005789;CC;e;endoplasmic reticulum membrane;6/102;247/46923;1.76746E-05;4;6;0.016596478;0.000922027;171865.0, 172370.0, 176626.0, 177027.0, 177028.0, 180422.0
GO:0000221;CC;e;vacuolar proton-transporting V-type ATPase, V1 domain;2/102;4/46923;2.79947E-05;5;2;0.026287011;0.001314351;172216.0, 180534.0
GO:0031429;CC;e;box H/ACA snoRNP complex;2/102;4/46923;2.79947E-05;5;2;0.026287011;0.001314351;172883.0, 176504.0
GO:0005840;CC;e;ribosome;5/102;163/46923;3.01847E-05;5;5;0.028343474;0.001349689;172921.0, 175141.0, 175235.0, 176975.0, 179153.0
GO:0033177;CC;e;proton-transporting two-sector ATPase complex, proton-transporting domain;2/102;5/46923;4.65915E-05;3;2;0.043749457;0.00190215;174272.0, 176383.0
GO:0034719;CC;e;SMN-Sm protein complex;2/102;5/46923;4.65915E-05;3;2;0.043749457;0.00190215;171834.0, 178483.0
GO:0034715;CC;e;pICln-Sm protein complex;2/102;7/46923;9.75646E-05;3;2;0.091613118;0.003393078;176103.0, 178483.0
GO:0097526;CC;e;spliceosomal tri-snRNP complex;2/102;7/46923;9.75646E-05;5;2;0.091613118;0.003393078;171834.0, 178483.0
GO:0005689;CC;e;U12-type spliceosomal complex;2/102;7/46923;9.75646E-05;4;2;0.091613118;0.003393078;171834.0, 178483.0
