GO;NS;enrichment;name;ratio_in_study;ratio_in_pop;p_uncorrected;depth;study_count;p_bonferroni;p_fdr_bh;study_items
GO:0006412;BP;e;translation;95/908;210/46923;5.5198E-105;7;95;2.0296E-101;2.0296E-101;171692.0, 171750.0, 171766.0, 171769.0, 171853.0, 171949.0, 172074.0, 172095.0, 172201.0, 172313.0, 172584.0, 172617.0, 172693.0, 172743.0, 172805.0, 172818.0, 172858.0, 172901.0, 173169.0, 173235.0, 173260.0, 173309.0, 173342.0, 173873.0, 174166.0, 174311.0, 174367.0, 174371.0, 174379.0, 174443.0, 174478.0, 174695.0, 174699.0, 175070.0, 175138.0, 175141.0, 175235.0, 175338.0, 175398.0, 175413.0, 175455.0, 175460.0, 175501.0, 175584.0, 175628.0, 175786.0, 175796.0, 175879.0, 175901.0, 175966.0, 175975.0, 176006.0, 176007.0, 176011.0, 176015.0, 176071.0, 176094.0, 176097.0, 176120.0, 176146.0, 176334.0, 176373.0, 176718.0, 176755.0, 176858.0, 176891.0, 176975.0, 177236.0, 177254.0, 177481.0, 177503.0, 177583.0, 178012.0, 178083.0, 178173.0, 178188.0, 178279.0, 178342.0, 178352.0, 178408.0, 178419.0, 178538.0, 178778.0, 179153.0, 179154.0, 179165.0, 179522.0, 179739.0, 179779.0, 179998.0, 180044.0, 180343.0, 180535.0, 180748.0, 24104384.0
GO:0009792;BP;e;embryo development ending in birth or egg hatching;65/908;305/46923;1.36679E-47;5;65;5.02569E-44;2.51285E-44;171601.0, 171768.0, 171988.0, 172687.0, 172773.0, 172802.0, 172831.0, 173007.0, 173167.0, 173171.0, 173319.0, 174034.0, 174090.0, 174272.0, 174659.0, 174675.0, 174803.0, 175126.0, 175284.0, 175316.0, 175525.0, 175750.0, 175801.0, 175817.0, 175915.0, 176094.0, 176179.0, 176257.0, 176330.0, 176380.0, 176383.0, 176434.0, 176471.0, 176503.0, 176512.0, 176688.0, 176702.0, 176755.0, 176808.0, 177017.0, 177089.0, 177190.0, 177217.0, 177533.0, 177595.0, 177602.0, 177757.0, 177779.0, 177855.0, 177895.0, 178113.0, 178250.0, 178614.0, 178640.0, 178831.0, 179224.0, 179244.0, 179534.0, 179535.0, 181148.0, 181504.0, 181644.0, 181719.0, 266820.0, 3565767.0
GO:0006457;BP;e;protein folding;35/908;86/46923;3.36126E-37;2;35;1.23594E-33;4.11979E-34;172433.0, 172655.0, 173341.0, 173374.0, 173581.0, 174054.0, 174203.0, 174318.0, 174330.0, 174421.0, 174514.0, 175315.0, 175316.0, 175472.0, 175588.0, 175727.0, 175819.0, 176013.0, 176195.0, 176928.0, 177235.0, 178014.0, 178045.0, 178670.0, 178873.0, 178997.0, 179040.0, 179971.0, 180017.0, 180027.0, 180028.0, 180724.0, 180880.0, 266837.0, 3565862.0
GO:0008340;BP;e;determination of adult lifespan;52/908;257/46923;4.61741E-37;2;52;1.69782E-33;4.24455E-34;171647.0, 172061.0, 172071.0, 172074.0, 172201.0, 172584.0, 172687.0, 172693.0, 172921.0, 172981.0, 173260.0, 173342.0, 173738.0, 173904.0, 174050.0, 174307.0, 174333.0, 174623.0, 174808.0, 174844.0, 175338.0, 175410.0, 175529.0, 175541.0, 175817.0, 175972.0, 175985.0, 176015.0, 176071.0, 176195.0, 176434.0, 176471.0, 176512.0, 176773.0, 176863.0, 176991.0, 177157.0, 177343.0, 177486.0, 177943.0, 178083.0, 178113.0, 178507.0, 179412.0, 179971.0, 180100.0, 180359.0, 180695.0, 180942.0, 181271.0, 266845.0, 266858.0
GO:0002119;BP;e;nematode larval development;41/908;212/46923;1.16691E-28;5;41;4.29072E-25;8.58144E-26;171751.0, 171956.0, 171988.0, 172174.0, 172520.0, 172920.0, 172981.0, 173171.0, 173500.0, 173901.0, 173904.0, 174367.0, 174614.0, 174743.0, 174747.0, 175126.0, 175284.0, 175316.0, 175440.0, 175817.0, 176257.0, 176512.0, 176793.0, 177089.0, 177533.0, 177626.0, 177855.0, 178411.0, 179077.0, 179629.0, 179971.0, 180603.0, 180783.0, 180843.0, 181504.0, 181526.0, 181776.0, 266648.0, 266820.0, 3565337.0, 3565767.0
GO:0002181;BP;e;cytoplasmic translation;19/908;25/46923;3.69325E-28;8;19;1.35801E-24;2.26335E-25;171692.0, 171766.0, 172062.0, 172943.0, 173235.0, 173342.0, 173873.0, 174166.0, 174379.0, 175235.0, 175628.0, 176007.0, 176015.0, 176071.0, 176891.0, 176975.0, 178188.0, 178352.0, 180343.0
GO:1902600;BP;e;proton transmembrane transport;23/908;70/46923;2.26606E-22;7;23;8.33231E-19;1.19033E-19;172134.0, 172216.0, 172673.0, 174272.0, 174596.0, 174743.0, 175605.0, 176257.0, 176338.0, 176383.0, 177017.0, 177018.0, 177442.0, 177626.0, 177757.0, 179796.0, 180534.0, 180692.0, 180718.0, 180956.0, 187779.0, 259519.0, 3564970.0
GO:0043161;BP;e;proteasome-mediated ubiquitin-dependent protein catabolic process;23/908;75/46923;1.37371E-21;9;23;5.05113E-18;6.31391E-19;171647.0, 171975.0, 172139.0, 172238.0, 172434.0, 172674.0, 172942.0, 173168.0, 173334.0, 173744.0, 173858.0, 174785.0, 175185.0, 175877.0, 175925.0, 176161.0, 176363.0, 176978.0, 177486.0, 177753.0, 178943.0, 178988.0, 179493.0
GO:0008380;BP;e;RNA splicing;22/908;88/46923;1.43691E-18;8;22;5.28352E-15;5.87057E-16;171834.0, 173073.0, 173204.0, 173915.0, 174072.0, 174073.0, 174193.0, 174333.0, 174645.0, 174747.0, 174901.0, 175572.0, 176103.0, 176153.0, 176668.0, 176688.0, 177566.0, 177988.0, 178483.0, 179639.0, 180069.0, 190601.0
GO:0006413;BP;e;translational initiation;17/908;43/46923;1.69768E-18;3;17;6.24237E-15;6.24237E-16;171769.0, 171792.0, 172584.0, 172858.0, 173169.0, 174322.0, 174478.0, 175138.0, 175966.0, 176094.0, 176373.0, 176755.0, 177236.0, 177254.0, 179165.0, 179779.0, 266853.0
