,connectivity,dynamicColors,moduleColors,moduleLabels
WBGene00022123,31.982356492607366,sandybrown,sandybrown,47
WBGene00012544,31.83774878297269,sandybrown,sandybrown,47
WBGene00019832,30.941609066629464,sandybrown,sandybrown,47
WBGene00009781,29.95303801304276,sandybrown,sandybrown,47
WBGene00008768,29.850666864997795,sandybrown,sandybrown,47
WBGene00017065,29.424352317622073,sandybrown,sandybrown,47
WBGene00000114,28.93435565961549,sandybrown,sandybrown,47
WBGene00017657,28.725895565164674,sandybrown,sandybrown,47
WBGene00002069,28.30103369992024,sandybrown,sandybrown,47
WBGene00019843,28.084439608840576,sandybrown,sandybrown,47
WBGene00017440,27.73644981933943,sandybrown,sandybrown,47
WBGene00011755,27.71320627881669,sandybrown,sandybrown,47
WBGene00003555,27.60677008859487,sandybrown,sandybrown,47
WBGene00006781,27.483869426736355,sandybrown,sandybrown,47
WBGene00006827,27.408123161385497,sandybrown,sandybrown,47
WBGene00006801,26.326776818190382,sandybrown,sandybrown,47
WBGene00003933,26.2471410516534,sandybrown,sandybrown,47
WBGene00011906,26.2469824603561,sandybrown,sandybrown,47
WBGene00044079,26.0543060689833,sandybrown,sandybrown,47
WBGene00006582,25.987320860970716,sandybrown,sandybrown,47
