GO;NS;enrichment;name;ratio_in_study;ratio_in_pop;p_uncorrected;depth;study_count;p_bonferroni;p_fdr_bh;study_items
GO:0050976;BP;e;detection of mechanical stimulus involved in sensory perception of touch;9/111;12/46923;3.63955E-22;6;9;1.32807E-18;1.32807E-18;174587.0, 175419.0, 179382.0, 180701.0, 180826.0, 181036.0, 181728.0, 185423.0, 188259.0
GO:1905789;BP;e;positive regulation of detection of mechanical stimulus involved in sensory perception of touch;8/111;11/46923;1.24334E-19;8;8;4.53695E-16;2.26847E-16;174587.0, 175419.0, 179382.0, 180826.0, 181036.0, 181728.0, 185423.0, 191285.0
GO:0007638;BP;e;mechanosensory behavior;9/111;29/46923;1.60256E-17;3;9;5.84775E-14;1.94925E-14;174587.0, 175419.0, 179382.0, 180701.0, 180826.0, 181036.0, 181728.0, 185423.0, 188259.0
GO:1905792;BP;e;positive regulation of mechanosensory behavior;7/111;10/46923;4.07935E-17;6;7;1.48855E-13;3.72138E-14;174587.0, 175419.0, 179382.0, 180826.0, 181036.0, 181728.0, 185423.0
GO:0009612;BP;e;response to mechanical stimulus;6/111;17/46923;1.85135E-12;3;6;6.75557E-09;1.35111E-09;175419.0, 179382.0, 180826.0, 181036.0, 181728.0, 188259.0
GO:0006457;BP;e;protein folding;8/111;86/46923;3.45353E-11;2;8;1.26019E-07;2.10032E-08;171791.0, 174318.0, 174330.0, 174421.0, 175588.0, 175819.0, 176013.0, 178670.0
GO:0000226;BP;e;microtubule cytoskeleton organization;4/111;48/46923;5.32508E-06;6;4;0.019431219;0.002775888;175419.0, 180358.0, 181036.0, 182257.0
GO:0048666;BP;e;neuron development;3/111;24/46923;2.51467E-05;4;3;0.091760203;0.011470025;174587.0, 181051.0, 181302.0
GO:0007168;BP;e;receptor guanylyl cyclase signaling pathway;3/111;29/46923;4.50086E-05;7;3;0.16423624;0.018248471;175116.0, 177584.0, 191652.0
GO:0006182;BP;e;cGMP biosynthetic process;3/111;34/46923;7.30763E-05;11;3;0.26665547;0.026665547;175116.0, 177584.0, 191652.0
GO:0009190;BP;e;cyclic nucleotide biosynthetic process;3/111;37/46923;9.43978E-05;9;3;0.344457708;0.030119942;175116.0, 177584.0, 191652.0
GO:0016048;BP;e;detection of temperature stimulus;2/111;7/46923;0.00011556;4;2;0.421679185;0.030119942;177584.0, 191652.0
GO:0006469;BP;e;negative regulation of protein kinase activity;2/111;7/46923;0.00011556;10;2;0.421679185;0.030119942;174848.0, 3564761.0
