GO;NS;enrichment;name;ratio_in_study;ratio_in_pop;p_uncorrected;depth;study_count;p_bonferroni;p_fdr_bh;study_items
GO:1902600;BP;e;proton transmembrane transport;17/176;70/46923;1.72744E-26;7;17;6.30342E-23;6.30342E-23;172134.0, 172216.0, 172298.0, 174272.0, 174596.0, 176338.0, 176383.0, 177017.0, 177018.0, 177442.0, 177626.0, 177757.0, 180534.0, 180692.0, 181236.0, 187779.0, 3564970.0
GO:0006811;BP;e;monoatomic ion transport;23/176;450/46923;2.16301E-19;4;23;7.89283E-16;3.94642E-16;172134.0, 172216.0, 173314.0, 174272.0, 174596.0, 176110.0, 176338.0, 176383.0, 176436.0, 177004.0, 177017.0, 177442.0, 177495.0, 177626.0, 177757.0, 177795.0, 180534.0, 180692.0, 181736.0, 186108.0, 187779.0, 3564970.0, 6418643.0
GO:0055085;BP;e;transmembrane transport;15/176;450/46923;2.06944E-10;4;15;7.5514E-07;2.51713E-07;172298.0, 174308.0, 176441.0, 176510.0, 177495.0, 177757.0, 178939.0, 179626.0, 181236.0, 181326.0, 183708.0, 186108.0, 186546.0, 188752.0, 189063.0
GO:0060142;BP;e;regulation of syncytium formation by plasma membrane fusion;3/176;4/46923;2.06932E-07;5;3;0.000755095;0.000151019;176383.0, 177757.0, 180692.0
GO:0007042;BP;e;lysosomal lumen acidification;3/176;4/46923;2.06932E-07;10;3;0.000755095;0.000151019;174596.0, 176383.0, 3564970.0
GO:0070072;BP;e;vacuolar proton-transporting V-type ATPase complex assembly;3/176;5/46923;5.159E-07;8;3;0.001882518;0.000313753;175577.0, 184093.0, 184242.0
GO:1902476;BP;e;chloride transmembrane transport;6/176;94/46923;1.58343E-06;7;6;0.005777945;0.000825421;173314.0, 176110.0, 176436.0, 177495.0, 179626.0, 6418643.0
GO:0007035;BP;e;vacuolar acidification;3/176;8/46923;2.86515E-06;9;3;0.01045493;0.001306866;172134.0, 177626.0, 180692.0
GO:0002064;BP;e;epithelial cell development;3/176;9/46923;4.28585E-06;4;3;0.015639065;0.001737674;173314.0, 175277.0, 181635.0
GO:0016042;BP;e;lipid catabolic process;5/176;66/46923;5.20729E-06;4;5;0.0190014;0.00185665;174179.0, 174895.0, 177137.0, 181274.0, 259518.0
GO:0046034;BP;e;ATP metabolic process;3/176;10/46923;6.10573E-06;10;3;0.022279801;0.00185665;180692.0, 181317.0, 3564970.0
GO:0035150;BP;e;regulation of tube size;3/176;10/46923;6.10573E-06;4;3;0.022279801;0.00185665;173314.0, 175277.0, 181635.0
GO:0043604;BP;e;amide biosynthetic process;2/176;2/46923;1.39891E-05;3;2;0.051046068;0.003403071;180815.0, 190498.0
GO:1901566;BP;e;organonitrogen compound biosynthetic process;2/176;2/46923;1.39891E-05;4;2;0.051046068;0.003403071;180815.0, 190498.0
GO:0044550;BP;e;secondary metabolite biosynthetic process;2/176;2/46923;1.39891E-05;3;2;0.051046068;0.003403071;180815.0, 190498.0
GO:0006821;BP;e;chloride transport;4/176;46/46923;2.75983E-05;6;4;0.100706339;0.006294146;173314.0, 176110.0, 176436.0, 6418643.0
GO:0051453;BP;e;regulation of intracellular pH;3/176;18/46923;4.06109E-05;7;3;0.148189068;0.008717004;176338.0, 180692.0, 181526.0
GO:0007186;BP;e;G protein-coupled receptor signaling pathway;10/176;582/46923;7.69598E-05;5;10;0.280826479;0.015601471;181274.0, 183445.0, 183595.0, 184238.0, 186008.0, 186126.0, 186962.0, 187065.0, 189409.0, 191991.0
GO:0006171;BP;e;cAMP biosynthetic process;2/176;4/46923;8.35199E-05;11;2;0.304764123;0.016040217;176789.0, 191607.0
GO:0051480;BP;e;regulation of cytosolic calcium ion concentration;2/176;6/46923;0.000207769;7;2;0.758150476;0.037907524;177004.0, 177795.0
GO:0016020;CC;e;membrane;86/176;6341/46923;1.71997E-29;2;86;1.60989E-26;1.60989E-26;172298.0, 172748.0, 173155.0, 173314.0, 173335.0, 174009.0, 174054.0, 174179.0, 174272.0, 174308.0, 174596.0, 174740.0, 175433.0, 175505.0, 175577.0, 176110.0, 176383.0, 176436.0, 176441.0, 176510.0, 176586.0, 176789.0, 177004.0, 177017.0, 177103.0, 177442.0, 177495.0, 177502.0, 177605.0, 177626.0, 177755.0, 177757.0, 177795.0, 177861.0, 177882.0, 177972.0, 178565.0, 178638.0, 178939.0, 179351.0, 179362.0, 179626.0, 180627.0, 181236.0, 181326.0, 181495.0, 181526.0, 181635.0, 181890.0, 182028.0, 182428.0, 183430.0, 183445.0, 183595.0, 183708.0, 184149.0, 184224.0, 184238.0, 184242.0, 185847.0, 186008.0, 186108.0, 186126.0, 186546.0, 186962.0, 187065.0, 187655.0, 187779.0, 188258.0, 188752.0, 188788.0, 189063.0, 189409.0, 190450.0, 190887.0, 191507.0, 191607.0, 191991.0, 3564875.0, 3565464.0, 3565792.0, 6418630.0, 6418643.0, 6418752.0, 13181209.0, 30928523.0
GO:0033179;CC;e;proton-transporting V-type ATPase, V0 domain;6/176;9/46923;2.12677E-13;4;6;1.99066E-10;9.95331E-11;172134.0, 176383.0, 177018.0, 177626.0, 177757.0, 187779.0
GO:0016324;CC;e;apical plasma membrane;9/176;84/46923;3.45715E-11;4;9;3.2359E-08;1.07863E-08;172298.0, 173314.0, 173976.0, 177442.0, 177626.0, 177757.0, 179626.0, 181326.0, 181526.0
GO:0005886;CC;e;plasma membrane;24/176;1358/46923;3.57005E-10;3;24;3.34157E-07;8.35391E-08;172298.0, 172748.0, 173314.0, 175332.0, 175433.0, 175577.0, 176110.0, 176436.0, 177004.0, 177442.0, 177495.0, 177626.0, 177757.0, 177882.0, 181326.0, 181526.0, 181736.0, 183445.0, 183595.0, 186008.0, 186108.0, 186962.0, 191607.0, 6418643.0
GO:0033180;CC;e;proton-transporting V-type ATPase, V1 domain;4/176;5/46923;9.53571E-10;4;4;8.92542E-07;1.48757E-07;174596.0, 177017.0, 180692.0, 3564970.0
GO:0033177;CC;e;proton-transporting two-sector ATPase complex, proton-transporting domain;4/176;5/46923;9.53571E-10;3;4;8.92542E-07;1.48757E-07;174272.0, 176383.0, 177018.0, 187779.0
GO:0016471;CC;e;vacuolar proton-transporting V-type ATPase complex;4/176;7/46923;6.63591E-09;6;4;6.21121E-06;8.87316E-07;172134.0, 172216.0, 177017.0, 177626.0
GO:0000221;CC;e;vacuolar proton-transporting V-type ATPase, V1 domain;3/176;4/46923;2.06932E-07;5;3;0.000193688;2.42111E-05;172216.0, 177017.0, 180534.0
GO:0034707;CC;e;chloride channel complex;4/176;35/46923;9.14491E-06;5;4;0.008559635;0.000951071;173314.0, 176110.0, 176436.0, 6418643.0
GO:0033181;CC;e;plasma membrane proton-transporting V-type ATPase complex;2/176;2/46923;1.39891E-05;6;2;0.013093757;0.001190342;172134.0, 177757.0
GO:0033176;CC;e;proton-transporting V-type ATPase complex;2/176;2/46923;1.39891E-05;5;2;0.013093757;0.001190342;176338.0, 177103.0
GO:0005737;CC;e;cytoplasm;22/176;2388/46923;9.55412E-05;2;22;0.089426595;0.007452216;171663.0, 172128.0, 173314.0, 173976.0, 174701.0, 175277.0, 175506.0, 176618.0, 177017.0, 177137.0, 177442.0, 177984.0, 180414.0, 181267.0, 181317.0, 181492.0, 181526.0, 181736.0, 188642.0, 188971.0, 190498.0, 4363086.0
GO:0000220;CC;e;vacuolar proton-transporting V-type ATPase, V0 domain;2/176;5/46923;0.000138856;5;2;0.129969126;0.009997625;177018.0, 177626.0
GO:0043296;CC;e;apical junction complex;2/176;6/46923;0.000207769;5;2;0.194472142;0.013890867;173314.0, 177757.0
GO:0031588;CC;e;nucleotide-activated protein kinase complex;2/176;10/46923;0.000617177;6;2;0.57767767;0.038511845;181492.0, 181736.0
GO:0046961;MF;e;proton-transporting ATPase activity, rotational mechanism;14/176;20/46923;2.44381E-30;8;14;5.42771E-27;5.42771E-27;172134.0, 172216.0, 174596.0, 176338.0, 176383.0, 177017.0, 177018.0, 177442.0, 177626.0, 177757.0, 180534.0, 180692.0, 187779.0, 3564970.0
GO:0015078;MF;e;proton transmembrane transporter activity;6/176;14/46923;7.48591E-12;5;6;1.66262E-08;8.3131E-09;172216.0, 174272.0, 176383.0, 177017.0, 177018.0, 187779.0
GO:0022857;MF;e;transmembrane transporter activity;9/176;217/46923;1.52443E-07;2;9;0.000338575;0.000112858;172298.0, 176441.0, 176510.0, 177495.0, 183708.0, 186108.0, 186546.0, 188752.0, 189063.0
GO:0005215;MF;e;transporter activity;4/176;35/46923;9.14491E-06;1;4;0.020310844;0.005077711;172748.0, 177004.0, 177795.0, 183708.0
GO:0000062;MF;e;fatty-acyl-CoA binding;3/176;13/46923;1.44318E-05;9;3;0.032052931;0.00565981;189453.0, 190616.0, 3896747.0
GO:0005524;MF;e;ATP binding;14/176;947/46923;1.52899E-05;8;14;0.03395886;0.00565981;172101.0, 172128.0, 172748.0, 174493.0, 174701.0, 177004.0, 177795.0, 177984.0, 178939.0, 180692.0, 181317.0, 181326.0, 182938.0, 3564970.0
GO:0000166;MF;e;nucleotide binding;14/176;1015/46923;3.26077E-05;4;14;0.072421635;0.010330961;172101.0, 172128.0, 172748.0, 174493.0, 174701.0, 177004.0, 177795.0, 177984.0, 179165.0, 180692.0, 181317.0, 181326.0, 182938.0, 3564970.0
GO:0031177;MF;e;phosphopantetheine binding;2/176;3/46923;4.18634E-05;4;2;0.09297865;0.010330961;180815.0, 190498.0
GO:0004312;MF;e;fatty acid synthase activity;2/176;3/46923;4.18634E-05;5;2;0.09297865;0.010330961;180815.0, 190498.0
GO:0016301;MF;e;kinase activity;9/176;477/46923;8.73704E-05;4;9;0.194049697;0.01940497;172101.0, 172128.0, 174701.0, 177984.0, 181317.0, 181736.0, 182938.0, 188886.0, 188971.0
GO:0005388;MF;e;P-type calcium transporter activity;2/176;5/46923;0.000138856;8;2;0.308398963;0.028036269;177004.0, 177795.0
GO:0005254;MF;e;chloride channel activity;4/176;73/46923;0.000170125;7;4;0.377846867;0.031487239;173314.0, 176110.0, 176436.0, 6418643.0
GO:0019205;MF;e;nucleobase-containing compound kinase activity;2/176;7/46923;0.000290159;5;2;0.644442835;0.049572526;174701.0, 181317.0
