GO;NS;enrichment;name;ratio_in_study;ratio_in_pop;p_uncorrected;depth;study_count;p_bonferroni;p_fdr_bh;study_items
GO:0006364;BP;e;rRNA processing;29/956;75/46923;1.26654E-29;9;29;4.62161E-26;4.62161E-26;171810.0, 171811.0, 171886.0, 171892.0, 172182.0, 172192.0, 172226.0, 172420.0, 173437.0, 173779.0, 173968.0, 174168.0, 175414.0, 175531.0, 175536.0, 175742.0, 176134.0, 176504.0, 176531.0, 176646.0, 177054.0, 177848.0, 177853.0, 178088.0, 178728.0, 179115.0, 180246.0, 188022.0, 190203.0
GO:0042254;BP;e;ribosome biogenesis;20/956;49/46923;2.0237E-21;5;20;7.38448E-18;3.69224E-18;171622.0, 171901.0, 172226.0, 173437.0, 173779.0, 173968.0, 174151.0, 174168.0, 174974.0, 175218.0, 175414.0, 176134.0, 176504.0, 176531.0, 176624.0, 176646.0, 177848.0, 178851.0, 179115.0, 180246.0
GO:0007399;BP;e;nervous system development;27/956;119/46923;1.07469E-20;4;27;3.92156E-17;1.30719E-17;171805.0, 172233.0, 172597.0, 172775.0, 173007.0, 173794.0, 174230.0, 174267.0, 174473.0, 174685.0, 174693.0, 175101.0, 175832.0, 176157.0, 176168.0, 176758.0, 176774.0, 178768.0, 180311.0, 180549.0, 180555.0, 180655.0, 180783.0, 181292.0, 181471.0, 3565400.0, 3565419.0
GO:0006886;BP;e;intracellular protein transport;25/956;110/46923;2.76327E-19;7;25;1.00832E-15;2.52079E-16;172023.0, 173701.0, 174375.0, 174525.0, 175020.0, 175094.0, 175376.0, 177282.0, 178397.0, 178620.0, 179150.0, 179193.0, 180182.0, 180307.0, 180449.0, 180713.0, 181163.0, 181406.0, 181649.0, 181759.0, 184091.0, 184624.0, 185438.0, 189194.0, 3565140.0
GO:0015031;BP;e;protein transport;33/956;228/46923;1.39158E-18;6;33;5.07788E-15;1.01558E-15;171691.0, 172023.0, 173143.0, 173278.0, 173518.0, 173701.0, 174028.0, 174375.0, 174427.0, 174908.0, 175376.0, 175672.0, 175833.0, 176623.0, 176766.0, 176799.0, 177473.0, 178397.0, 178402.0, 179193.0, 179737.0, 180182.0, 180713.0, 180723.0, 181163.0, 181759.0, 182286.0, 184091.0, 184624.0, 189194.0, 259570.0, 259582.0, 3565210.0
GO:0007411;BP;e;axon guidance;20/956;66/46923;2.10062E-18;8;20;7.66515E-15;1.27753E-15;171988.0, 172233.0, 172455.0, 173749.0, 173794.0, 173918.0, 174473.0, 174693.0, 175953.0, 176179.0, 177144.0, 177602.0, 177949.0, 178619.0, 179259.0, 180311.0, 181471.0, 181573.0, 188812.0, 192081.0
GO:0016192;BP;e;vesicle-mediated transport;24/956;111/46923;4.96791E-18;4;24;1.81279E-14;2.5897E-15;171691.0, 173638.0, 173701.0, 174375.0, 174427.0, 174525.0, 175376.0, 175833.0, 176344.0, 176349.0, 176476.0, 176766.0, 178397.0, 178402.0, 179150.0, 179193.0, 180449.0, 180478.0, 180713.0, 181163.0, 181591.0, 184091.0, 266648.0, 3565210.0
GO:0040011;BP;e;locomotion;22/956;97/46923;4.05264E-17;1;22;1.47881E-13;1.84851E-14;172105.0, 172303.0, 172455.0, 174230.0, 174267.0, 175698.0, 176168.0, 176179.0, 176349.0, 176758.0, 178284.0, 178942.0, 179259.0, 179671.0, 180203.0, 180810.0, 180990.0, 181255.0, 181292.0, 181644.0, 183963.0, 266825.0
GO:0006357;BP;e;regulation of transcription by RNA polymerase II;46/956;522/46923;1.44001E-16;9;46;5.2546E-13;5.83844E-14;171617.0, 171670.0, 172435.0, 172640.0, 172677.0, 172889.0, 172893.0, 173244.0, 173740.0, 173749.0, 174154.0, 174341.0, 175357.0, 175698.0, 175775.0, 175890.0, 176157.0, 176237.0, 176426.0, 176449.0, 176450.0, 176678.0, 176679.0, 176937.0, 177144.0, 177720.0, 178439.0, 178514.0, 179388.0, 180357.0, 180672.0, 180942.0, 181025.0, 181523.0, 181573.0, 181783.0, 182371.0, 182467.0, 182874.0, 185980.0, 188793.0, 190925.0, 192081.0, 260030.0, 3565074.0, 6418830.0
GO:0016310;BP;e;phosphorylation;41/956;475/46923;1.31077E-14;5;41;4.78299E-11;4.78299E-12;171784.0, 172184.0, 172221.0, 172677.0, 172779.0, 172891.0, 173022.0, 173322.0, 173794.0, 173918.0, 174473.0, 174623.0, 175344.0, 176328.0, 176774.0, 176808.0, 177611.0, 177615.0, 178068.0, 178250.0, 178895.0, 179649.0, 179768.0, 179912.0, 180311.0, 180574.0, 180655.0, 180690.0, 180810.0, 180844.0, 181212.0, 181248.0, 181261.0, 181471.0, 181727.0, 181756.0, 181830.0, 183676.0, 185682.0, 190400.0, 3565400.0
