"wbps_gene_id","entrezgene_id","X","Cluster"
"WBGene00000018",181261,930,"whitesmoke"
"WBGene00000041",176121,256,"coral"
"WBGene00000051",181475,1591,"whitesmoke"
"WBGene00000068",175622,1464,"whitesmoke"
"WBGene00000069",191607,1792,"sienna"
"WBGene00000072",180760,1630,"whitesmoke"
"WBGene00000074",181489,356,"coral"
"WBGene00000080",176022,981,"whitesmoke"
"WBGene00000086",180420,1491,"whitesmoke"
"WBGene00000094",184244,866,"whitesmoke"
"WBGene00000095",172889,1057,"whitesmoke"
"WBGene00000108",187001,702,"coral"
"WBGene00000112",173510,1325,"whitesmoke"
"WBGene00000121",177738,260,"coral"
"WBGene00000149",180783,874,"whitesmoke"
"WBGene00000157",184091,891,"whitesmoke"
"WBGene00000160",175376,851,"whitesmoke"
"WBGene00000161",181163,849,"whitesmoke"
"WBGene00000162",173701,905,"whitesmoke"
"WBGene00000165",171691,1107,"whitesmoke"
"WBGene00000166",189194,1622,"whitesmoke"
"WBGene00000180",174525,1114,"whitesmoke"
"WBGene00000182",175801,1858,"darkseagreen"
"WBGene00000185",180501,681,"coral"
"WBGene00000187",174375,845,"whitesmoke"
"WBGene00000192",178405,860,"whitesmoke"
"WBGene00000195",180446,1943,"goldenrod"
"WBGene00000201",3565442,855,"whitesmoke"
"WBGene00000203",176697,1123,"whitesmoke"
"WBGene00000207",180718,90,"coral"
"WBGene00000210",180956,170,"coral"
"WBGene00000221",181576,322,"coral"
"WBGene00000225",175125,317,"coral"
"WBGene00000229",175716,68,"coral"
"WBGene00000230",172195,22,"coral"
"WBGene00000259",174039,1248,"whitesmoke"
"WBGene00000263",175254,781,"whitesmoke"
"WBGene00000289",174473,931,"whitesmoke"
"WBGene00000292",177497,759,"whitesmoke"
"WBGene00000293",174673,745,"whitesmoke"
"WBGene00000371",172832,726,"whitesmoke"
"WBGene00000377",174318,1937,"goldenrod"
"WBGene00000378",174421,1941,"goldenrod"
"WBGene00000379",174330,1935,"goldenrod"
"WBGene00000380",175588,1933,"goldenrod"
"WBGene00000381",175819,1938,"goldenrod"
"WBGene00000388",176260,508,"coral"
"WBGene00000396",175590,822,"whitesmoke"
"WBGene00000407",176774,914,"whitesmoke"
"WBGene00000408",171784,839,"whitesmoke"
"WBGene00000409",172677,825,"whitesmoke"
"WBGene00000431",172640,1529,"whitesmoke"
"WBGene00000445",179485,423,"coral"
"WBGene00000454",191622,495,"coral"
"WBGene00000476",188793,1650,"whitesmoke"
"WBGene00000477",178939,1798,"sienna"
"WBGene00000478",178768,1341,"whitesmoke"
"WBGene00000500",172303,951,"whitesmoke"
"WBGene00000506",175357,807,"whitesmoke"
"WBGene00000515",188971,1757,"sienna"
"WBGene00000519",176546,1389,"whitesmoke"
"WBGene00000534",178992,720,"whitesmoke"
"WBGene00000542",176122,1385,"whitesmoke"
"WBGene00000548",3565419,884,"whitesmoke"
"WBGene00000550",176341,280,"coral"
"WBGene00000565",174848,1969,"goldenrod"
"WBGene00000567",176390,766,"whitesmoke"
"WBGene00000585",177473,942,"whitesmoke"
"WBGene00000630",172222,2075,"lightyellow"
"WBGene00000648",173698,2019,"goldenrod"
"WBGene00000658",185221,2069,"lightyellow"
"WBGene00000707",186083,585,"coral"
"WBGene00000720",179351,1800,"sienna"
"WBGene00000761",172190,348,"coral"
"WBGene00000763",178403,912,"whitesmoke"
"WBGene00000765",176099,329,"coral"
"WBGene00000766",179316,1217,"whitesmoke"
"WBGene00000767",175647,310,"coral"
"WBGene00000775",185473,1968,"goldenrod"
"WBGene00000800",171821,906,"whitesmoke"
"WBGene00000829",NA,3,"coral"
"WBGene00000832",171818,1074,"whitesmoke"
"WBGene00000833",176437,75,"coral"
