Modelo;Umbral;Precisión;F1;AUC
all_RF;0.78;0.97;0.97;0.96
sc1_RF;0.33;0.90;0.86;0.95
sc2_RF;0.83;0.97;0.97;0.95
sc3_RF;0.75;0.94;0.95;0.99
sc4_RF;0.33;0.94;0.95;0.97
sc5_RF;0.67;0.94;0.94;0.93
all_SVM;0.53;0.97;0.97;0.93
sc1_SVM;0.13;0.95;0.92;0.91
sc2_SVM;0.45;0.97;0.97;0.92
sc3_SVM;0.48;0.97;0.97;0.94
sc4_SVM;0.46;0.97;0.97;0.93
sc5_SVM;0.38;0.97;0.97;0.82
all_KNN;1.00;0.91;0.92;0.96
sc1_KNN;0.62;0.90;0.83;0.81
sc2_KNN;1.00;0.97;0.97;0.97
sc3_KNN;0.49;0.97;0.97;0.97
sc4_KNN;1.00;0.91;0.92;0.96
sc5_KNN;0.25;0.84;0.86;0.90
